DATE,SP500
09/21/12,1460.15
09/24/12,1456.89
09/25/12,1441.59
09/26/12,1433.32
09/27/12,1447.15
09/28/12,1440.67
10/01/12,1444.49
10/02/12,1445.75
10/03/12,1450.99
10/04/12,1461.4
10/05/12,1460.93
10/08/12,1455.88
10/09/12,1441.48
10/10/12,1432.56
10/11/12,1432.84
10/12/12,1428.59
10/15/12,1440.13
10/16/12,1454.92
10/17/12,1460.91
10/18/12,1457.34
10/19/12,1433.19
10/22/12,1433.82
10/23/12,1413.11
10/24/12,1408.75
10/25/12,1412.97
10/26/12,1411.94
10/29/12,0
10/30/12,0
10/31/12,1412.16
11/01/12,1427.59
11/02/12,1414.2
11/05/12,1417.26
11/06/12,1428.39
11/07/12,1394.53
11/08/12,1377.51
11/09/12,1379.85
11/12/12,1380.03
11/13/12,1374.53
11/14/12,1355.49
11/15/12,1353.33
11/16/12,1359.88
11/19/12,1386.89
11/20/12,1387.81
11/21/12,1391.03
11/22/12,0
11/23/12,1409.15
11/26/12,1406.29
11/27/12,1398.94
11/28/12,1409.93
11/29/12,1415.95
11/30/12,1416.18
12/03/12,1409.46
12/04/12,1407.05
12/05/12,1409.28
12/06/12,1413.94
12/07/12,1418.07
12/10/12,1418.55
12/11/12,1427.84
12/12/12,1428.48
12/13/12,1419.45
12/14/12,1413.58
12/17/12,1430.36
12/18/12,1446.79
12/19/12,1435.81
12/20/12,1443.69
12/21/12,1430.15
12/24/12,1426.66
12/25/12,0
12/26/12,1419.83
12/27/12,1418.1
12/28/12,1402.43
12/31/12,1426.19
01/01/13,0
01/02/13,1462.42
01/03/13,1459.37
01/04/13,1466.47
01/07/13,1461.89
01/08/13,1457.15
01/09/13,1461.02
01/10/13,1472.12
01/11/13,1472.05
01/14/13,1470.68
01/15/13,1472.34
01/16/13,1472.63
01/17/13,1480.94
01/18/13,1485.98
01/21/13,0
01/22/13,1492.56
01/23/13,1494.81
01/24/13,1494.82
01/25/13,1502.96
01/28/13,1500.18
01/29/13,1507.84
01/30/13,1501.96
01/31/13,1498.11
02/01/13,1513.17
02/04/13,1495.71
02/05/13,1511.29
02/06/13,1512.12
02/07/13,1509.39
02/08/13,1517.93
02/11/13,1517.01
02/12/13,1519.43
02/13/13,1520.33
02/14/13,1521.38
02/15/13,1519.79
02/18/13,0
02/19/13,1530.94
02/20/13,1511.95
02/21/13,1502.42
02/22/13,1515.6
02/25/13,1487.85
02/26/13,1496.94
02/27/13,1515.99
02/28/13,1514.68
03/01/13,1518.2
03/04/13,1525.2
03/05/13,1539.79
03/06/13,1541.46
03/07/13,1544.26
03/08/13,1551.18
03/11/13,1556.22
03/12/13,1552.48
03/13/13,1554.52
03/14/13,1563.23
03/15/13,1560.7
03/18/13,1552.1
03/19/13,1548.34
03/20/13,1558.71
03/21/13,1545.8
03/22/13,1556.89
03/25/13,1551.69
03/26/13,1563.77
03/27/13,1562.85
